Time_s,BaselineRelativeSpeed_rad_s,resistor_RelativeSpeed_rad_s,distal_RelativeSpeed_rad_s,motorwheel_RelativeSpeed_rad_s,oildamper_RelativeSpeed_rad_s
0.32275,-0.193932589461992,-0.121116284647435,0.100239971407673,0.0146004762566811,-0.0542148775863707
0.323,-0.192788359498517,-0.120391048675455,0.101220965519095,0.0165261422379237,-0.0541129963780502
0.32325,-0.191629961409668,-0.119656885639513,0.102176823213629,0.0183443556405889,-0.0540077213934476
0.3235,-0.190457495887483,-0.11891385889205,0.103107334278934,0.0200441408572927,-0.05389906932323
0.32375,-0.189271064695631,-0.118162032464366,0.104012294647783,0.0216152713893287,-0.05378705704727
0.324,-0.18807077066065,-0.117401471061135,0.104891506442463,0.023048331310771,-0.0536717016329233
0.32425,-0.186856717663094,-0.11663224005487,0.105744778017686,0.0243347716312858,-0.0535530203332998
0.3245,-0.185629010628606,-0.115854405480335,0.106571924001983,0.025466961220765,-0.0534310305855253
0.32475,-0.184387755518905,-0.115068034028909,0.10737276533759,0.0264382319929268,-0.0533057500089962
0.325,-0.183133059322702,-0.114273193042898,0.108147129318815,0.0272429180809639,-0.0531771964036261
0.32525,-0.181865030046535,-0.113469950509799,0.108894849628868,0.027876388775715,-0.0530453877480845
0.3255,-0.180583776705534,-0.112658375056517,0.109615766375151,0.028335075035681,-0.0529103421980291
0.32575,-0.179289409314096,-0.111838535943527,0.110309726123014,0.0286164894180578,-0.0527720780843299
0.326,-0.177982038876502,-0.111010503058998,0.110976581927939,0.0287192393207258,-0.0526306139112857
0.32625,-0.176661777377448,-0.110174346912861,0.111616193366187,0.028643033466464,-0.0524859683548359
0.3265,-0.17532873777251,-0.109330138630832,0.11222842656386,0.0283886816023584,-0.0523381602607623
0.32675,-0.173983033978529,-0.108477949948397,0.112813154224401,0.0279580874291303,-0.0521872086428867
0.327,-0.17262478086393,-0.107617853204736,0.113370255654514,0.027354234816731,-0.0520331326812605
0.32725,-0.171254094238975,-0.106749921336617,0.113899616788506,0.0265811674037157,-0.0518759517203488
0.3275,-0.169871090845927,-0.10587422787223,0.114401130211038,0.0256439617184165,-0.0517156852672074
0.32775,-0.168475888349172,-0.104990846924996,0.114874695178278,0.0245486939995101,-0.0515523529896545
0.328,-0.167068605325247,-0.104099853187309,0.115320217637479,0.0233024009319738,-0.0513859747144356
0.32825,-0.165649361252818,-0.103201321924257,0.115737610244931,0.0219130345514458,-0.0512165704253828
0.3285,-0.16421827650258,-0.102295328967283,0.116126792382338,0.0203894116053704,-0.0510441602615694
0.32875,-0.162775472327103,-0.101381950707813,0.116487690171567,0.0187411576928609,-0.0508687645154572
0.329,-0.161321070850596,-0.100461264090843,0.116820236487803,0.0169786465366963,-0.0506904036310397
0.32925,-0.159855195058629,-0.0995333466084789,0.117124370971092,0.0151129347701506,-0.0505090982019797
0.3295,-0.158377968787769,-0.0985982762934379,0.117400040036268,0.0131556926481811,-0.0503248689697416
0.32975,-0.156889516715172,-0.0976561317125144,0.117647196881277,0.011119131116816,-0.0501377368217187
0.33,-0.155389964348099,-0.0967069919600005,0.117865801493873,0.00901592569612686,-0.0499477227893563
0.33025,-0.153879438013385,-0.0957509366510707,0.118055820656716,0.00685913765092017,-0.0497548480462693
0.3305,-0.152358064846835,-0.0947880459151274,0.118217227950845,0.00466213293904905,-0.0495591339063555
0.33075,-0.15082597278257,-0.0938184003891074,0.118350003757539,0.00243849943998642,-0.0493606018219049
0.331,-0.149283290542314,-0.0928420812107538,0.118454135258569,0.000201962975925563,-0.0491592733817046
0.33125,-0.147730147624622,-0.0918591700118496,0.118529616434833,-0.00203369735588788,-0.0489551703091389
0.3315,-0.146166674294047,-0.0908697489114134,0.118576448063378,-0.00425473401761667,-0.0487483144602867
0.33175,-0.144593001570263,-0.0898739005088627,0.118594637712826,-0.00644751551009448,-0.0485387278220141
0.332,-0.143009261217122,-0.0888717078771397,0.118584199737169,-0.00859860997806927,-0.0483264325100631
0.33225,-0.141415585731668,-0.0878632545558049,0.118545155267987,-0.0106948674289535,-0.0481114507671385
0.3325,-0.139812108333091,-0.0868486245440938,0.118477532205043,-0.012723500062134,-0.0478938049609892
0.33275,-0.138198962951626,-0.085827902293943,0.118381365205285,-0.0146721602184368,-0.0476735175824876
0.333,-0.136576284217418,-0.0848011727029818,0.118256695670266,-0.0165290154749402,-0.0474506112437058
0.33325,-0.134944207449316,-0.0837685211074939,0.118103571731949,-0.0182828204287506,-0.0472251086759883
0.3335,-0.13330286864363,-0.0827300332753427,0.117922048236949,-0.0199229847346216,-0.0469970327280224
0.33375,-0.131652404462844,-0.0816857953988721,0.117712186729181,-0.0214396369851255,-0.0467664063639058
0.334,-0.129992952224267,-0.0806358940877707,0.11747405543093,-0.0228236840484566,-0.0465332526612115
0.33425,-0.128324649888652,-0.079580416361912,0.117207729222359,-0.0240668655075975,-0.0462975948090503
0.3345,-0.126647636048766,-0.0785194496441599,0.116913289619444,-0.0251618028753893,-0.0460594561061318
0.33475,-0.12496204991791,-0.0774530817531491,0.116590824750351,-0.0261020432927737,-0.045818859958822
0.335,-0.123268031318402,-0.0763814008960351,0.116240429330268,-0.0268820974519817,-0.0455758298791998
0.33525,-0.121565720670017,-0.0753044956612208,0.115862204634682,-0.0274974715224183,-0.0453303894831121
0.3355,-0.119855258978383,-0.0742224550110488,0.11545625847112,-0.0279446928943217,-0.0450825624882258
0.33575,-0.118136787823337,-0.0731353682744778,0.115022705149369,-0.028221329593614,-0.0448323727120797
0.336,-0.116410449347246,-0.0720433251397212,0.11456166545016,-0.0283260032606001,-0.0445798440701343
0.33625,-0.114676386243281,-0.0709464156468731,0.114073266592349,-0.028258395624895,-0.0443250005738202
0.3365,-0.112934741743663,-0.0698447301804996,0.113557642198584,-0.0280192484491453,-0.0440678663285859
0.33675,-0.111185659607865,-0.0687383594622111,0.113014932259486,-0.0276103569542758,-0.0438084655319445
0.337,-0.109429284110782,-0.0676273945432113,0.112445283096337,-0.0270345567790862,-0.0435468224715186
0.33725,-0.107665760030864,-0.0665119267968239,0.11184884732229,-0.0262957045666556,-0.0432829615230869
0.3375,-0.105895232638222,-0.0653920479109933,0.111225783802117,-0.0253986523090532,-0.0430169071486269
0.33775,-0.104117847682687,-0.0642678498807703,0.110576257610497,-0.0243492156199732,-0.0427486838943602
0.338,-0.102333751381857,-0.06313942500077,0.109900439988867,-0.0231541361419221,-0.0424783163887956
0.33825,-0.100543090409096,-0.0620068658576167,0.109198508300823,-0.0218210383302857,-0.042205829340773
0.3385,-0.098746011881508,-0.0608702653223623,0.108470645986116,-0.0203583808906966,-0.0419312475375069
0.33875,-0.0969426633478911,-0.0597297165428916,0.107717042513227,-0.0187754031784988,-0.0416545958426303
0.339,-0.0951331927766503,-0.0585853129363052,0.106937893330545,-0.017082066899478,-0.0413758991942382
0.33925,-0.0933177485436958,-0.057437148181287,0.10613339981616,-0.0152889934793012,-0.0410951826029328
0.3395,-0.0914964794203019,-0.0562853162104526,0.105303769226284,-0.0134073974950197,-0.0408124711498672
0.33975,-0.0896695345609571,-0.0551299112026848,0.104449214642308,-0.0114490165854875,-0.0405277899847926
0.34,-0.0878370634911767,-0.0539710275754484,0.103569954916519,-0.00942603827836841,-0.0402411643241031
0.34025,-0.0859992160952987,-0.0528087599770934,0.102666214616474,-0.00735102418959421,-0.0399526194488838
0.3405,-0.084156142604257,-0.0516432032791434,0.101738223968063,-0.00523683206634296,-0.0396621807029594
