Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
1.549,3.36197286435759,3.41145692077654,0.024894710847863,0.0177749877996707,0.0181071642484034,0.000631573545062381,-3.10150351653382e-05
1.55,3.36305947944742,3.41148900867042,0.0243641935151264,0.017385609324077,0.0177156686991062,0.000630599200817539,-3.04435995446273e-05
1.551,3.36417333471213,3.4114901823188,0.0238044195372242,0.0169753004280251,0.0173027500846215,0.000629626360458158,-2.98436186212947e-05
1.552,3.36531361662897,3.41146118408285,0.0232161716567907,0.0165446294183229,0.0168689775930737,0.000628655021611468,-2.92160918070605e-05
1.553,3.36647947858371,3.41140279229556,0.0226002673611889,0.016094189560218,0.0164149461101339,0.000627685181910032,-2.85620390484409e-05
1.554,3.36767004203268,3.41131582018386,0.0219575577556657,0.0156245982654157,0.015941275407696,0.000626716838989516,-2.78824994347504e-05
1.555,3.36888439770315,3.41120111474857,0.0212889263959606,0.0151364962507974,0.0154486093021249,0.000625749990490032,-2.71785297999427e-05
1.556,3.37012160683041,3.41105955560349,0.0205952880819265,0.0146305466689509,0.014937614783233,0.000624784634056574,-2.64512033190667e-05
1.557,3.37138070242979,3.41089205377531,0.0198775876138271,0.0141074342117133,0.014408981115138,0.000623820767337246,-2.57016081015582e-05
1.558,3.3726606906021,3.41069955046598,0.0191367985129687,0.0135678641878987,0.0138634189102231,0.000622858387985481,-2.49308457831443e-05
1.559,3.37396055187056,3.41048301577913,0.0183739217083958,0.0130125615764838,0.0133016591774306,0.000621897493659596,-2.41400301176919e-05
1.56,3.37527924254749,3.41024344741236,0.0175899841914116,0.0124422700564817,0.0127244523461578,0.000620938082019684,-2.33302855698336e-05
1.561,3.37661569612904,3.40998186931702,0.0167860376397226,0.0118577510148206,0.0121325672670576,0.000619980150732946,-2.25027459122562e-05
1.562,3.37796882471589,3.4096993303275,0.0159631570130312,0.0112597825335303,0.0115267901910645,0.000619023697470578,-2.16585528265978e-05
1.563,3.37933752045831,3.40939690276149,0.0151224391219591,0.0106491583575865,0.0109079237280021,0.000618068719905995,-2.07988545107285e-05
1.564,3.38072065702342,3.40907568099354,0.0142650011721774,0.0100266868447738,0.0102767857861412,0.000617115215720609,-1.99248042948019e-05
1.565,3.38211709108291,3.40873678000333,0.0133919792856774,0.00939318989894034,0.0096342084941039,0.000616163182598939,-1.90375592650782e-05
1.566,3.38352566381914,3.40838133390095,0.0125045270011324,0.00874950188807144,0.00898103710653952,0.000615212618228167,-1.81382789003481e-05
1.567,3.38494520244772,3.40801049443091,0.0116038137553129,0.00809646854857693,0.0083181288949965,0.000614263520301694,-1.72281237189043e-05
1.568,3.38637452175453,3.40762542945695,0.0106910233475475,0.00743494587723248,0.00764635202544417,0.000613315886518695,-1.63082539402781e-05
1.569,3.38781242564524,3.4072273214296,0.00976735238924098,0.0067657990122334,0.00696658442391396,0.000612369714581895,-1.5379828162021e-05
1.57,3.38925770870524,3.40681736583845,0.00883400874046769,0.00608990110479724,0.0062797126317311,0.00061142500219713,-1.44440020514724e-05
1.571,3.390709157768,3.40639676965126,0.00789220993567641,0.00540813218280389,0.00558663065182996,0.00061048174707734,-1.35019270574022e-05
1.572,3.39216555348985,3.40596674974186,0.00694318160054541,0.00472137800792849,0.00488823878765121,0.000609539946937687,-1.2554749138638e-05
1.573,3.39362567192905,3.40552853130886,0.00598815586204893,0.00403052892775957,0.00418544247611452,0.000608599599501325,-1.16036075144543e-05
